cycle_number,discharge_capacity
1,58.09073
2,58.10661
3,58.09102
4,58.07538
5,58.06412
6,58.08909
7,58.07824
8,58.06937
9,58.04588
10,58.07055
11,58.06779
12,58.05847
13,58.03802
14,58.05596
15,58.06339
16,58.05083
17,58.03583
18,58.05082
19,58.06421
20,58.04846
21,58.02924
22,58.02995
23,58.04932
24,58.0411
25,58.03422
26,58.02864
27,58.04324
28,58.03893
29,58.02395
30,58.01469
31,58.03081
32,58.03705
33,58.02969
34,58.01544
35,58.02549
36,58.03972
37,58.02985
38,58.01524
39,58.02311
40,58.03151
41,58.02324
42,58.00658
43,58.00963
44,58.01998
45,58.02178
46,58.00569
47,58.00194
48,58.0136
49,58.01925
50,58.00845
51,58.00173
52,58.00979
53,58.0118
54,58.0043
55,57.99157
56,58.00193
57,58.00577
58,57.99869
59,57.98137
60,57.98618
61,57.99625
62,57.99486
63,57.9877
64,57.997
65,58.00183
66,57.98987
67,57.98144
68,57.97646
69,57.98948
70,57.98425
71,57.96651
72,57.96124
73,57.96719
74,57.97243
75,57.96915
76,57.96398
77,57.97098
78,57.96062
79,57.96346
80,57.96549
81,57.97144
82,57.97247
83,57.96553
84,57.95346
85,57.96099
86,57.95958
87,57.95428
88,57.94369
89,57.94612
90,57.94459
91,57.94245
92,57.93452
93,57.93694
94,57.94303
95,57.9364
96,57.93204
97,57.93813
98,57.94516
99,57.93468
100,57.93051
101,57.91867
102,57.93059
103,57.92604
104,57.92877
105,57.91311
106,57.92167
107,57.91807
108,57.91523
109,57.90603
110,57.91266
111,57.91885
112,57.90904
113,57.89974
114,57.89412
115,57.90355
116,57.90156
117,57.89387
118,57.88442
119,57.89229
120,57.89221
121,57.87876
122,57.8759
123,57.87955
124,57.8839
125,57.87723
126,57.86887
127,57.87167
128,57.87729
129,57.86946
130,57.86097
131,57.85637
132,57.86132
133,57.85609
134,57.85219
135,57.84455
136,57.8485
137,57.84313
138,57.83517
139,57.82882
140,57.82953
141,57.83657
142,57.8368
143,57.82601
144,57.82986
145,57.82799
146,57.82824
147,57.81882
148,57.8246
149,57.82036
150,57.81455
151,57.80116
152,57.80234
153,57.81027
154,57.80903
155,57.79979
156,57.79126
157,57.7992
158,57.79771
159,57.79517
160,57.78319
161,57.78567
162,57.78301
163,57.78856
164,57.76717
165,57.76781
166,57.76614
167,57.76147
168,57.75479
169,57.75575
170,57.75845
171,57.75448
172,57.75345
173,57.74555
174,57.74288
175,57.74181
176,57.73937
177,57.72977
178,57.73575
179,57.73896
180,57.72998
181,57.72118
182,57.72052
183,57.72695
184,57.72246
185,57.71469
186,57.71299
187,57.71298
188,57.70713
189,57.69574
190,57.6951
191,57.69696
192,57.69486
193,57.68494
194,57.67587
195,57.68057
196,57.67693
197,57.67244
198,57.65982
199,57.67111
200,57.66669
201,57.66345
202,57.65552
203,57.66019
204,57.66465
205,57.65564
206,57.64188
207,57.64511
208,57.63492
209,57.62834
210,57.62439
211,57.62127
212,57.63135
213,57.62135
214,57.6149
215,57.60609
216,57.617
217,57.6085
218,57.61385
219,57.59181
220,57.59316
221,57.59297
222,57.58483
223,57.59117
224,57.59462
225,57.59491
226,57.58605
227,57.58083
228,57.58475
229,57.58024
230,57.57647
231,57.56451
232,57.56919
233,57.57295
234,57.56693
235,57.55657
236,57.55224
237,57.5574
238,57.55643
239,57.54769
240,57.53775
241,57.54419
242,57.53776
243,57.53128
244,57.51786
245,57.52486
246,57.51856
247,57.51171
248,57.49662
249,57.50552
250,57.50906
251,57.50102
252,57.49753
253,57.50228
254,57.49801
255,57.49034
256,57.4825
257,57.485
258,57.48436
259,57.48122
260,57.47019
261,57.46464
262,57.47169
263,57.47408
264,57.45964
265,57.45558
266,57.46476
267,57.4653
268,57.45032
269,57.43683
270,57.44299
271,57.43775
272,57.44154
273,57.41991
274,57.42528
275,57.42466
276,57.42432
277,57.41083
278,57.4097
279,57.41181
280,57.41128
281,57.4062
282,57.39602
283,57.3995
284,57.39255
285,57.38924
286,57.37333
287,57.37365
288,57.38068
289,57.37399
290,57.3641
291,57.36055
292,57.36186
293,57.36044
294,57.35293
295,57.35027
296,57.34683
297,57.35311
298,57.33439
299,57.33162
300,57.328
301,57.33954
302,57.32475
303,57.30737
304,57.306
305,57.30443
306,57.30127
307,57.28716
308,57.29079
309,57.29265
310,57.29275
311,57.27816
312,57.27254
313,57.27456
314,57.2732
315,57.25943
316,57.27197
317,57.25866
318,57.26141
319,57.25417
320,57.2542
321,57.24724
322,57.25278
323,57.23887
324,57.2397
325,57.23281
326,57.23861
327,57.22731
328,57.21994
329,57.21144
330,57.20862
331,57.10676
332,57.16941
333,57.16845
334,57.17501
335,57.17945
336,57.16892
337,57.19826
338,57.16673
339,57.16528
340,57.15011
341,57.15753
342,57.15878
343,57.16096
344,57.14882
345,57.1413
346,57.14665
347,57.14719
348,57.13316
349,57.13018
350,57.12575
351,57.12115
352,57.11337
353,57.11492
354,57.11213
355,57.11621
356,57.1037
357,57.09544
358,57.08919
359,57.0914
360,57.08316
361,57.07283
362,57.07146
363,57.06609
364,57.06404
365,57.05534
366,57.05446
367,57.05479
368,57.05244
369,57.03601
370,57.03117
371,57.03204
372,57.03177
373,57.01906
374,57.01828
375,57.01702
376,57.01779
377,56.99999
378,56.99894
379,56.99915
380,57.01524
381,56.98898
382,56.98286
383,56.98113
384,56.98695
385,56.97926
386,56.97198
387,56.96363
388,56.96076
389,56.95643
390,56.94254
391,56.94892
392,56.94493
393,56.94272
394,56.92814
395,56.92753
396,56.9269
397,56.92244
398,56.91529
399,56.90875
400,56.90668
401,56.9008
402,56.89136
403,56.89178
404,56.89157
405,56.89075
406,56.87551
407,56.86877
408,56.86707
409,56.86948
410,56.86263
411,56.86002
412,56.85742
413,56.85089
414,56.83898
415,56.83712
416,56.84087
417,56.83822
418,56.82112
419,56.81324
420,56.81716
421,56.81925
422,56.80921
423,56.80155
424,56.80495
425,56.79591
426,56.79794
427,56.78788
428,56.79323
429,56.8081
430,56.77618
431,56.7653
432,56.77012
433,56.77654
434,56.76905
435,56.75212
436,56.74595
437,56.74611
438,56.74189
439,56.7307
440,56.72721
441,56.7266
442,56.72802
443,56.70663
444,56.70506
445,56.71084
446,56.70712
447,56.69302
448,56.68792
449,56.68615
450,56.68916
451,56.67632
452,56.67504
453,56.6807
454,56.6767
455,56.65601
456,56.64514
457,56.65004
458,56.64643
459,56.64316
460,56.62998
461,56.62968
462,56.62319
463,56.61289
464,56.6101
465,56.6113
466,56.60935
467,56.59355
468,56.58266
469,56.59039
470,56.59065
471,56.58123
472,56.58406
473,56.57105
474,56.56707
475,56.56281
476,56.55538
477,56.55771
478,56.55868
479,56.5308
480,56.52339
481,56.5308
482,56.52851
483,56.52722
484,56.51384
485,56.50569
486,56.50078
487,56.48991
488,56.47859
489,56.4861
490,56.47796
491,56.47076
492,56.45863
493,56.46483
494,56.46317
495,56.45493
496,56.44489
497,56.44402
498,56.44035
499,56.43105
500,56.42227
501,56.4275
502,56.42365
503,56.4169
504,56.40309
505,56.15383
506,58.53059
507,58.53413
508,58.51734
509,58.4978
510,58.47834
511,58.46489
512,58.44842
513,58.43467
514,58.42305
515,58.41303
516,58.40852
517,58.39586
518,58.38701
519,58.39276
520,58.36677
521,58.35826
522,58.35151
523,58.34341
524,58.33398
525,58.326
526,58.31532
527,58.30591
528,58.29506
529,58.28711
530,58.27893
531,58.26973
532,58.26059
533,58.25422
534,58.24252
535,58.2345
536,58.22128
537,58.21162
538,58.20683
539,58.19645
540,58.18936
541,58.17957
542,58.17505
543,58.16122
544,58.15144
545,58.14476
546,58.1347
547,58.12555
548,58.11479
549,58.10124
550,58.09583
551,58.08453
552,58.07579
553,58.07074
554,58.0612
555,58.05076
556,58.04365
557,58.04987
558,58.02565
559,58.01306
560,58.01211
561,58.00149
562,57.99182
563,57.98377
564,57.97748
565,57.97063
566,57.96233
567,57.95137
568,57.94049
569,57.93636
570,57.92491
571,57.91835
572,57.90706
573,57.89944
574,57.89414
575,57.88581
576,57.87655
577,57.86345
578,57.85612
579,57.84653
580,57.84132
581,57.82782
582,57.82215
583,57.81696
584,57.80817
585,57.79727
586,57.79254
587,57.78469
588,57.77824
589,57.766
590,57.75984
591,57.75048
592,57.7429
593,57.73855
594,57.72913
595,57.73549
596,57.70901
597,57.69707
598,57.6873
599,57.67886
600,57.67435
601,57.66575
602,57.65665
603,57.65341
604,57.64027
605,57.6318
606,57.6249
607,57.6178
608,57.61191
609,57.6031
610,57.59733
611,57.5843
612,57.57442
613,57.56787
614,57.55833
615,57.55006
616,57.54326
617,57.53419
618,57.52282
619,57.51327
620,57.50521
621,57.502
622,57.49217
623,57.48254
624,57.47387
625,57.46431
626,57.45604
627,57.4463
628,57.4396
629,57.43115
630,57.42193
631,57.41277
632,57.40213
633,57.41672
634,57.38658
635,57.37572
636,57.36821
637,57.36343
638,57.35214
639,57.34364
640,57.33598
641,57.3278
642,57.31346
643,57.30606
644,57.29898
645,57.28933
646,57.27841
647,57.27313
648,57.26513
649,57.25606
650,57.24269
651,57.23758
652,57.228
653,57.21997
654,57.21036
655,57.2038
656,57.19748
657,57.18135
658,57.17233
659,57.16246
660,57.15432
661,57.14567
662,57.13779
663,57.12979
664,57.1183
665,57.10552
666,57.09758
667,57.08799
668,57.08145
669,57.07342
670,57.06536
671,57.0718
672,57.04456
673,57.03604
674,57.02991
675,57.02185
676,57.01546
677,57.00413
678,56.99911
679,56.98957
680,56.97787
681,56.97188
682,56.96705
683,56.9574
684,56.94928
685,56.94119
686,56.93305
687,56.92515
688,56.91229
689,56.90249
690,56.89775
691,56.88945
692,56.86865
693,56.87601
694,56.86988
695,56.8596
696,56.857
697,56.84864
698,56.83675
699,56.82681
700,56.82198
701,56.81108
702,56.80188
703,56.79629
704,56.78917
705,56.78083
706,56.76922
707,56.78189
708,56.75563
709,56.74613
710,56.73682
711,56.72858
712,56.71674
713,56.7105
714,56.70093
715,56.69421
716,56.68498
717,56.67382
718,56.66664
719,56.65471
720,56.64931
721,56.63614
722,56.62954
723,56.61906
724,56.6079
725,56.6006
726,56.58982
727,56.58227
728,56.57177
729,56.56753
730,56.56859
731,56.55234
732,56.53823
733,56.52952
734,56.52382
735,56.51319
736,56.50294
737,56.4962
738,56.49175
739,56.47994
740,56.46883
741,56.4638
742,56.45778
743,56.44818
744,56.43966
745,56.42995
746,56.42344
747,56.41101
748,56.40435
749,56.38901
750,56.38414
751,56.37569
752,56.36853
753,56.36333
754,56.34823
755,56.3396
756,56.33009
757,56.32269
758,56.31311
759,56.30615
760,56.29678
761,56.2943
762,56.2772
763,56.26756
764,56.25982
765,56.25165
766,56.24524
767,56.23602
768,56.2254
769,56.21561
770,56.20362
771,56.20124
772,56.19424
773,56.17648
774,56.16951
775,56.15869
776,56.04363
777,56.10229
778,56.09244
779,56.08098
780,56.08123
781,56.07973
782,56.06874
783,56.05779
784,56.04684
785,56.0425
786,56.03388
787,56.02646
788,56.04371
789,56.01917
790,56.01165
791,56.0018
792,55.99221
793,55.98512
794,55.97995
795,55.9709
796,55.96688
797,55.95799
798,55.9432
799,55.93476
800,55.92636
801,55.92142
802,55.91443
803,55.90934
804,55.91193
805,55.89803
806,55.88407
807,55.87633
808,55.86934
809,55.86063
810,55.85051
811,55.88101
812,55.8408
813,55.82821
814,55.81817
815,55.8115
816,55.80691
817,55.79536
818,55.79038
819,55.7924
820,55.77837
821,55.76349
822,55.75381
823,55.74581
824,55.73461
825,55.73125
826,55.72157
827,55.71675
828,55.71108
829,55.70317
830,55.6916
831,55.68655
832,55.67333
833,55.66681
834,55.67609
835,55.65532
836,55.64411
837,55.63568
838,55.62337
839,55.61361
840,55.60681
841,55.59816
842,55.59185
843,55.58217
844,55.57559
845,55.56837
846,55.56053
847,55.54661
848,55.53861
849,55.53543
850,55.52527
851,55.51607
852,55.50287
853,55.49251
854,55.48946
855,55.47803
856,55.46923
857,55.46482
858,55.45891
859,55.45551
860,55.5485
861,55.5359
862,55.53072
863,55.5282
864,55.51931
865,55.52259
866,55.5001
867,55.49595
868,55.48743
869,55.47352
870,55.47495
871,55.47139
872,55.46854
873,55.46019
874,55.4509
875,55.43855
876,55.42806
877,55.42009
878,55.41806
879,55.41224
880,55.40739
881,55.3987
882,55.36984
883,55.37832
884,55.37246
885,55.36701
886,55.35903
887,55.3565
888,55.34999
889,55.34239
890,55.33379
891,55.32842
892,55.32285
893,55.31842
894,55.311
895,55.30699
896,55.30908
897,55.30024
898,55.28821
899,55.28001
900,55.27366
901,55.26389
902,55.2559
903,55.22228
904,55.22658
905,55.21765
906,55.20914
907,55.19887
908,55.1926
909,55.18195
910,55.17687
911,55.19613
912,55.15769
913,55.14318
914,55.14201
915,55.13712
916,55.12938
917,55.11882
918,55.10996
919,55.11108
920,55.09909
921,55.08391
922,55.07823
923,55.0723
924,55.06524
925,55.06173
926,55.0547
927,55.05507
928,55.04109
929,55.03272
930,55.01427
931,55.01526
932,55.00738
933,54.99805
934,54.99173
935,54.98447
936,54.97927
937,54.96758
938,54.95352
939,54.9458
940,54.94354
941,54.93897
942,54.94072
943,54.92296
944,54.91348
945,54.89966
946,54.89351
947,54.88759
948,54.88282
949,54.87565
950,54.87787
951,54.86225
952,54.84972
953,54.83316
954,54.82874
955,54.82283
956,54.81739
957,54.81333
958,54.81135
959,54.80277
960,54.79179
961,54.77417
962,54.76794
963,54.76298
964,54.75613
965,54.75443
966,54.75174
967,54.74277
968,54.72667
969,54.71617
970,54.7111
971,54.7093
972,54.70481
973,54.70159
974,54.68885
975,54.68122
976,54.66654
977,54.65655
978,54.65169
979,54.64435
980,54.6388
981,54.65646
982,54.63382
983,54.62039
984,54.61044
985,54.60172
986,54.5982
987,54.59279
988,54.59306
989,54.60244
990,54.58161
991,54.57031
992,54.55701
993,54.55435
994,54.55055
995,54.54857
996,54.54374
997,54.54059
998,54.53121
999,54.52315
1000,54.50889
1001,54.50056
1002,54.49543
1003,54.49583
1004,54.49323
1005,54.48849
1006,54.48146
1007,54.47425
1008,54.46719
1009,54.4584
1010,54.45243
1011,54.45433
1012,54.44789
1013,54.43998
1014,54.43234
1015,54.42277
1016,54.41168
1017,54.40417
1018,54.39938
1019,54.3939
1020,54.39435
1021,54.38713
1022,54.37616
1023,54.36768
1024,54.36287
1025,54.36037
1026,54.35494
1027,54.34661
1028,54.36818
1029,54.33623
1030,54.32562
1031,54.30974
1032,54.30669
1033,54.30118
1034,54.29506
1035,54.28822
1036,54.28256
1037,54.27203
1038,54.26637
1039,54.25762
1040,54.25246
1041,54.24789
1042,54.24509
1043,54.23767
1044,54.23344
1045,54.22057
1046,54.213
1047,54.20434
1048,54.19691
1049,54.19155
1050,54.18951
1051,54.18408
1052,54.17551
1053,54.16417
1054,54.15772
1055,54.14553
1056,54.14324
1057,54.13689
1058,54.13355
1059,54.13354
1060,54.13052
1061,54.12147
1062,54.10803
1063,54.1031
1064,54.09411
1065,54.09328
1066,54.09167
1067,54.08379
1068,54.07745
1069,54.07022
1070,54.05657
1071,54.04978
1072,54.04495
1073,54.03907
1074,54.04007
1075,54.0362
1076,54.02639
1077,54.0169
1078,54.01772
1079,54.01028
1080,54.00699
1081,54.00091
1082,53.9896
1083,54.00213
1084,53.98062
1085,53.97282
1086,53.96213
1087,53.94864
1088,53.94522
1089,53.93724
1090,53.93665
1091,53.94007
1092,53.9288
1093,53.92452
1094,53.90862
1095,53.90445
1096,53.9026
1097,53.89483
1098,53.89228
1099,53.89274
1100,53.89065
1101,53.87415
1102,53.86341
1103,53.84982
1104,53.84622
1105,53.84067
1106,53.83258
1107,53.83445
1108,53.82435
1109,53.81934
1110,53.81378
1111,53.81093
1112,53.80436
1113,53.79366
1114,53.79409
1115,53.79715
1116,53.78725
1117,53.7734
1118,53.76643
1119,53.7644
1120,53.76315
1121,53.75929
1122,53.7502
1123,53.7492
1124,53.73654
1125,53.7252
1126,53.71404
1127,53.7075
1128,53.70381
1129,53.70483
1130,53.7019
1131,53.70174
1132,53.68944
1133,53.67713
1134,53.67
1135,53.6655
1136,53.66241
1137,53.65905
1138,53.6528
1139,53.65267
1140,53.643
1141,53.63002
1142,53.62408
1143,53.61801
1144,53.61604
1145,53.61079
1146,53.63486
1147,53.60602
1148,53.59138
1149,53.58205
1150,53.58011
1151,53.57617
1152,53.56907
1153,53.30658
1154,53.32915
1155,53.33432
1156,53.33767
1157,53.34091
1158,53.34252
1159,53.34252
1160,53.34756
1161,53.34488
1162,53.34466
1163,53.34213
1164,53.34051
1165,53.33972
1166,53.33777
1167,53.34016
1168,53.33853
1169,53.32941
1170,53.32429
1171,53.32089
1172,53.32154
1173,53.3168
1174,53.31352
1175,53.31356
1176,53.32025
1177,53.3111
1178,53.30707
1179,53.30869
1180,53.3042
1181,53.30224
1182,53.29998
1183,53.29741
1184,53.29462
1185,53.28912
1186,53.28489
1187,53.2828
1188,53.28001
1189,53.27643
1190,53.27163
1191,53.26433
1192,53.2617
1193,53.25874
1194,53.25391
1195,53.24742
1196,53.24411
1197,53.24088
1198,53.23308
1199,53.23275
1200,53.22747
1201,53.2209
1202,53.22169
1203,53.21682
1204,53.21173
1205,53.21041
1206,53.20362
1207,53.19666
1208,53.19534
1209,53.1934
1210,53.18523
1211,53.18111
1212,53.17592
1213,53.16926
1214,53.16487
1215,53.1569
1216,53.15702
1217,53.16656
1218,53.16304
1219,53.1563
1220,53.15616
1221,53.15118
1222,53.14833
1223,53.13952
1224,53.13787
1225,53.13629
1226,53.13308
1227,53.12824
1228,53.12322
1229,53.11857
1230,53.14758
1231,53.10684
1232,53.10405
1233,53.09841
1234,53.09358
1235,53.092
1236,53.08712
1237,53.08398
1238,53.10209
1239,53.0765
1240,53.07116
1241,53.06779
1242,53.06296
1243,53.05813
1244,53.05329
1245,53.04685
1246,53.05126
1247,53.04111
1248,53.03843
1249,53.03075
1250,53.02594
1251,53.02431
1252,53.01954
1253,53.01477
1254,53.01207
1255,53.00742
1256,53.00371
1257,52.99902
1258,52.99595
1259,52.9937
1260,52.98711
1261,52.98153
1262,52.97685
1263,52.97864
1264,52.97878
1265,52.9711
1266,52.96583
1267,52.96316
1268,52.96476
1269,52.95826
1270,52.9407
1271,52.94107
1272,52.93243
1273,52.92838
1274,52.92203
1275,52.91893
1276,52.91344
1277,52.9063
1278,52.89947
1279,52.89464
1280,52.8912
1281,52.88437
1282,52.87637
1283,52.87315
1284,52.87039
1285,52.86296
1286,52.86311
1287,52.85744
1288,52.85057
1289,52.84043
1290,52.83798
1291,52.83231
1292,52.82606
1293,52.82134
1294,52.81394
1295,52.80973
1296,52.79926
1297,52.79736
1298,52.79217
1299,52.78513
1300,52.77929
1301,52.77425
1302,52.771
1303,52.76227
1304,52.76213
1305,52.75874
1306,52.75005
1307,52.7491
1308,52.74533
1309,52.76558
1310,52.73324
1311,52.73239
1312,52.73084
1313,52.72146
1314,52.7209
1315,52.71282
1316,52.71086
1317,52.7251
1318,52.70124
1319,52.6997
1320,52.69237
1321,52.69301
1322,52.68904
1323,52.67863
1324,52.67599
1325,52.67542
1326,52.67038
1327,52.66394
1328,52.65708
1329,52.65176
1330,52.65124
1331,52.64769
1332,52.63948
1333,52.63284
1334,52.63553
1335,52.62952
1336,52.62574
1337,52.6214
1338,52.61804
1339,52.61392
1340,52.61037
1341,52.60137
1342,52.60299
1343,52.59675
1344,52.59386
1345,52.58982
1346,52.58721
1347,52.58694
1348,52.5783
1349,52.57165
1350,52.56775
1351,52.55982
1352,52.55471
1353,52.55227
1354,52.5461
1355,52.5425
1356,52.53588
1357,52.5313
1358,52.52487
1359,52.52184
1360,52.51613
1361,52.51504
1362,52.50982
1363,52.5051
1364,52.50138
1365,52.49054
1366,52.48165
1367,52.47809
1368,52.47205
1369,52.46848
1370,52.464
1371,52.45881
1372,52.45398
1373,52.44624
1374,52.44129
1375,52.4363
1376,52.43251
1377,52.42713
1378,52.41897
1379,52.4139
1380,52.40885
1381,52.40053
1382,52.40024
1383,52.39723
1384,52.38833
1385,52.38631
1386,52.38336
1387,52.37825
1388,52.3718
1389,52.36555
1390,52.36639
1391,52.36214
1392,52.35892
1393,52.35731
1394,52.35288
1395,52.34764
1396,52.34109
1397,52.3347
1398,52.33277
1399,52.32984
1400,52.32826
1401,52.32025
1402,52.31723
1403,52.3138
1404,52.34668
1405,52.30337
1406,52.30499
1407,52.29614
1408,52.29207
1409,52.28324
1410,52.28586
1411,52.27921
1412,52.29693
1413,52.27017
1414,52.27295
1415,52.26254
1416,52.26634
1417,52.25978
1418,52.25514
1419,52.25148
1420,52.2567
1421,52.246
1422,52.24219
1423,52.2426
1424,52.23485
1425,52.23331
1426,52.22556
1427,52.22255
1428,52.21553
1429,52.21552
1430,52.20982
1431,52.2071
1432,52.20411
1433,52.20087
1434,52.1947
1435,52.18776
1436,52.18167
1437,52.17845
1438,52.17398
1439,52.16741
1440,52.16395
1441,52.15737
1442,52.15268
1443,52.14462
1444,52.13722
1445,52.1335
1446,52.1269
1447,52.12207
1448,52.11884
1449,52.11297
1450,52.11187
1451,52.10432
1452,52.0979
1453,52.09468
1454,52.08986
1455,52.08662
1456,52.07789
1457,52.07484
1458,52.06728
1459,52.06467
1460,52.06271
1461,52.056
1462,52.05237
1463,52.04481
1464,52.04548
1465,52.04044
1466,52.03427
1467,52.03099
1468,52.02635
1469,52.02231
1470,52.02064
1471,52.01208
1472,52.00833
1473,52.00368
1474,51.99763
1475,51.99602
1476,51.9952
1477,51.98563
1478,51.97732
1479,51.97391
1480,51.9675
1481,51.97232
1482,51.96852
1483,51.96681
1484,51.96332
1485,51.95919
1486,51.95463
1487,51.95137
1488,51.94832
1489,51.94558
1490,51.94526
1491,51.93741
1492,51.93145
1493,51.92594
1494,51.92238
1495,51.92279
1496,51.91814
1497,51.91487
1498,51.91142
1499,51.90705
1500,51.90189
1501,51.89718
1502,51.89516
1503,51.89328
1504,51.89064
1505,51.88702
1506,51.88254
1507,51.88024
1508,51.87623
1509,51.87301
1510,51.86807
1511,51.86282
1512,51.85641
1513,51.85567
1514,51.84934
1515,51.84705
1516,51.84234
1517,51.84564
1518,51.83916
1519,51.83873
1520,51.83442
1521,51.8284
1522,51.82375
1523,51.82224
1524,51.8114
1525,51.80858
1526,51.80328
1527,51.79954
1528,51.79872
1529,51.79362
1530,51.78713
1531,51.7819
1532,51.77313
1533,51.77128
1534,51.76209
1535,51.76193
1536,51.76011
1537,51.7571
1538,51.74943
1539,51.74242
1540,51.73828
1541,51.73491
1542,51.73353
1543,51.72719
1544,51.72286
1545,51.71608
1546,51.71281
1547,51.75025
1548,51.70615
1549,51.70216
1550,51.69708
1551,51.69206
1552,51.68732
1553,51.68423
1554,51.68017
1555,51.71562
1556,51.67309
1557,51.67006
1558,51.66377
1559,51.6648
1560,51.66194
1561,51.65709
1562,51.65212
1563,51.6803
1564,51.63723
1565,51.6419
1566,51.63932
1567,51.63505
1568,51.63317
1569,51.62932
1570,51.62821
1571,51.64974
1572,51.61731
1573,51.61549
1574,51.61347
1575,51.61008
1576,51.60713
1577,51.60059
1578,51.59844
1579,51.60831
1580,51.5921
1581,51.59029
1582,51.5862
1583,51.58708
1584,51.58157
1585,51.57839
1586,51.5733
1587,51.57486
1588,51.56891
1589,51.56506
1590,51.56209
1591,51.55941
1592,51.55236
1593,51.55075
1594,51.54914
1595,51.54282
1596,51.53642
1597,51.53575
1598,51.53443
1599,51.53312
1600,51.52655
1601,51.52393
1602,51.51746
1603,51.50579
1604,51.51098
1605,51.50549
1606,51.50607
1607,51.4978
1608,51.49282
1609,51.48808
1610,51.47824
1611,51.47177
1612,51.4734
1613,51.46696
1614,51.46696
1615,51.46051
1616,51.45873
1617,51.44923
1618,51.44439
1619,51.43472
1620,51.44178
1621,51.50471
1622,51.51631
1623,51.51918
1624,51.51344
1625,51.50944
1626,51.49282
1627,51.48657
1628,51.46157
1629,51.4788
1630,51.4602
1631,51.44914
1632,51.44278
1633,51.43987
1634,51.44027
1635,51.4307
1636,51.417
1637,51.41785
1638,51.41036
1639,51.40049
1640,51.39761
1641,51.39196
1642,51.40394
1643,51.39788
1644,51.38478
1645,51.388
1646,51.38317
1647,51.37562
1648,51.37573
1649,51.36866
1650,51.3654
1651,51.35899
1652,51.3605
1653,51.37285
1654,51.36814
1655,51.35007
1656,51.34526
1657,51.34375
1658,51.33918
1659,51.33386
1660,51.33643
1661,51.33146
1662,51.32491
1663,51.31994
1664,51.31775
1665,51.31003
1666,51.30918
1667,51.3008
1668,51.29612
1669,51.29324
1670,51.29466
1671,51.29223
1672,51.28583
1673,51.28435
1674,51.29041
1675,51.29205
1676,51.27805
1677,51.28321
1678,51.27842
1679,51.27198
1680,51.26875
1681,51.26542
1682,51.26377
1683,51.2622
1684,51.25712
1685,51.25934
1686,51.25085
1687,51.24182
1688,51.23597
1689,51.2335
1690,51.23157
1691,51.22526
1692,51.22159
1693,51.221
1694,51.21346
1695,51.2099
1696,51.20791
1697,51.20363
1698,51.19904
1699,51.19322
1700,51.19001
1701,51.19127
1702,51.18449
1703,51.17788
1704,51.17466
1705,51.16816
1706,51.16624
1707,51.16155
1708,51.15604
1709,51.15156
1710,51.14823
1711,51.14565
1712,51.1392
1713,51.13274
1714,51.12954
1715,51.12623
1716,51.12286
1717,51.11265
1718,51.11479
1719,51.11015
1720,51.11018
1721,51.10456
1722,51.098
1723,51.09438
1724,51.08968
1725,51.08599
1726,51.08734
1727,51.08152
1728,51.07717
1729,51.07315
1730,51.07145
1731,51.06822
1732,51.05982
1733,51.05776
1734,51.05336
1735,51.06611
1736,51.06803
1737,51.07404
1738,51.07103
1739,51.06682
1740,51.07885
1741,51.04947
1742,51.0445
1743,51.0488
1744,51.04885
1745,51.0444
1746,51.04542
1747,51.04724
1748,51.04192
1749,51.01676
1750,51.01512
1751,51.0103
1752,51.01587
1753,51.01906
1754,51.01072
1755,51.00087
1756,50.96995
1757,50.97783
1758,50.90397
1759,50.90656
1760,50.89401
1761,50.89718
1762,50.89145
1763,50.87798
1764,50.89743
1765,50.88991
1766,50.91566
1767,50.90945
1768,50.914
1769,50.90741
1770,50.90382
1771,50.89575
1772,50.88456
1773,50.87543
1774,50.87796
1775,50.87436
1776,50.8728
1777,50.86657
1778,50.86308
1779,50.86147
1780,50.84697
1781,50.85662
1782,50.85664
1783,50.85339
1784,50.84887
1785,50.84534
1786,50.84051
1787,50.85002
1788,50.8201
1789,50.854
1790,50.84609
1791,50.83629
1792,50.83629
1793,50.83175
1794,50.8279
